python-jeepney 0.9.0-3
python-librt 0.8.1-1
python-lsp-black 2.0.0-5
python-lsp-isort 1:0.2.1-1
python-lsp-jsonrpc 1.1.2-6
python-lsp-server 1.14.0-2
python-mako 1.3.10-4
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-more-itertools 11.0.2-1
python-mypy_extensions 1.1.0-2
python-numpy 2.4.4-1
python-orjson 3.11.8-1
python-packaging 26.1-1
python-parso 1:0.8.6-1
python-pathspec 1.0.4-1
python-pexpect 4.9.0-7
python-pillow 12.2.0-1
python-pip 26.0.1-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.6-1
python-pluggy 1.6.0-3
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pyasyncore 1.0.5-1
python-pycparser 3.00-1
python-pydyf 0.12.1-2
python-pygments 2.20.0-1
python-pyinotify 0.9.6-16
python-pylsp-mypy 0.7.0-1
python-pylsp-rope 0.1.17-1
python-pyphen 0.17.2-2
python-pyproject-hooks 1.2.0-6
python-pyqt5 5.15.11-7
python-pyqt5-sip 12.18.0-1
python-pytest 1:9.0.3-1
python-pytokens 0.4.1-1
python-pytoolconfig 1.3.1-4
python-pyudev 0.24.4-1
python-requests 2.33.1-1
python-rope 1.14.0-1
python-secretstorage 3.5.0-1
python-setuptools 1:82.0.1-1
python-six 1.17.0-3
python-sortedcontainers 2.4.0-8
python-soupsieve 2.8.3-1
python-tabulate 0.10.0-1
python-tinycss2 1.5.1-2
python-tinyhtml5 2.1.0-1
python-toml 0.10.2-13
python-tqdm 4.67.3-1
python-trove-classifiers 2026.1.14.14-1
python-typing_extensions 4.15.0-3
python-ujson 5.12.0-1
python-urllib3 2.6.3-1
python-urwid 4.0.0-1
python-wcwidth 0.6.0-1
python-weasyprint 68.1-1
python-webencodings 0.5.1-13
python-websockets 16.0-1
python-wheel 0.46.3-1
python-zipp 3.21.0-4
python-zopfli 0.4.1-1
qca-qt6 2.3.10-5
qemu-audio-alsa 10.2.2-4
qemu-audio-dbus 10.2.2-4
qemu-audio-jack 10.2.2-4
qemu-audio-oss 10.2.2-4
qemu-audio-pa 10.2.2-4
qemu-audio-pipewire 10.2.2-4
qemu-audio-sdl 10.2.2-4
qemu-audio-spice 10.2.2-4
qemu-base 10.2.2-4
qemu-block-curl 10.2.2-4
qemu-block-dmg 10.2.2-4
qemu-block-gluster 10.2.2-4
qemu-block-iscsi 10.2.2-4
qemu-block-nfs 10.2.2-4
qemu-block-ssh 10.2.2-4
qemu-chardev-baum 10.2.2-4
qemu-chardev-spice 10.2.2-4
qemu-common 10.2.2-4
qemu-desktop 10.2.2-4
qemu-docs 10.2.2-4
qemu-emulators-full 10.2.2-4
qemu-full 10.2.2-4
qemu-hw-display-qxl 10.2.2-4
qemu-hw-display-virtio-gpu 10.2.2-4
qemu-hw-display-virtio-gpu-gl 10.2.2-4
qemu-hw-display-virtio-gpu-pci 10.2.2-4
qemu-hw-display-virtio-gpu-pci-gl 10.2.2-4
qemu-hw-display-virtio-gpu-pci-rutabaga 10.2.2-4
qemu-hw-display-virtio-gpu-rutabaga 10.2.2-4
qemu-hw-display-virtio-vga 10.2.2-4
qemu-hw-display-virtio-vga-gl 10.2.2-4
